table_name	table_info	table_path	err_ds	err_hour	table_time	project	workflow	task	table_type	person_in_charge	flag	update_type
idata_ods.t_ods_ad_show_nrt_h	影响	/warehouse/idata_ods.db/t_ods_ad_show_nrt_h	3	3	无	1	1	1		郭金	1	h
idata_ods.t_ods_app_launch_h	影响p0核心小时表产出-追读阅读时长表	/warehouse/idata_ods.db/t_ods_app_launch_h	2	2		dw_idata	t_dwd_app_launch_h		得间-p0-	郭金	1	h
idata_ods.t_ods_behavior_v2_h	影响p0核心小时表产出-ods启动日志表，从basic抽取基本字段。	/warehouse/idata_ods.db/t_ods_behavior_v2_h	3	3		dw_idata	t_dws_data_board_h_to_mysql_monitor			郭金	1	h
idata_ods.t_ods_bookclub_addpost_h	影响p0核心小时表产出-搜索日志(安卓搜索插件v22版本启用)	/warehouse/idata_ods.db/t_ods_bookclub_addpost_h	2	2		dw_idata	basic_to_ods_v6_h			郭金	1	h
idata_ods.t_ods_bookstore_h	影响p0核心小时表产出-浏览日志(实时+非实时,根据topic区分)	/warehouse/idata_ods.db/t_ods_bookstore_h	3	3		dw_idata	t_ads_new_monitor_v2_h			郭金	1	h
idata_ods.t_ods_brief_h	影响p0核心小时表产出	/warehouse/idata_ods.db/t_ods_brief_h	3	3		dw_idata	t_ods_brief_h			郭金	1	h
idata_ods.t_ods_dj_commercial_ad_serving_h	影响p0核心小时表产出-ods层wap站布点数据表，解析出json中数据	/warehouse/idata_ods.db/t_ods_dj_commercial_ad_serving_h	3	3		dw_dj	t_dws_dj_commercial_ad_light_h_v2		得间-p0-	郭金	1	h
idata_ods.t_ods_download_h	影响p0核心小时表产出-投放小时表	/warehouse/idata_ods.db/t_ods_download_h	3	3		dw_idata	t_ods_download_h			郭金	1	h
idata_ods.t_ods_ereader_bookstore_h	影响p0核心小时表产出-投放启动全量日志	/warehouse/idata_ods.db/t_ods_ereader_bookstore_h	2	2		dw_idata	t_ads_new_monitor_v2_h			郭金	1	h
idata_ods.t_ods_invest_launch_rt_h	影响p0核心小时表产出-基于神策事件日志落表，s_为神策自带字段	/warehouse/idata_ods.db/t_ods_invest_launch_rt_h	2	2		dw_idata	t_ods_invest_launch_rt_h			郭金	1	h
idata_ods.t_ods_invest_sync_h	影响bmh核心小时表产出-投放小时表	/warehouse/idata_ods.db/t_ods_invest_sync_h	3	3		dw_idata	秘读计算		掌阅-p0-结果表	张涵	1	h
idata_ods.t_ods_invest_third_h	影响p0核心小时表产出-ereader.php.bookstore(电纸书书城日志)(字段为null设置为-1)	/warehouse/idata_ods.db/t_ods_invest_third_h	2	2		dw_idata	t_ods_invest_third_h			郭金	1	h
idata_ods.t_ods_ios_ireader_crash_h	影响p0核心小时表产出-书籍的书友圈的新增评论数	/warehouse/idata_ods.db/t_ods_ios_ireader_crash_h	2	2		dw_idata	basic_to_ods_ios_h			郭金	1	h
idata_ods.t_ods_ireader_click_h	影响p0核心小时表产出-秘读阅读日志	/warehouse/idata_ods.db/t_ods_ireader_click_h	3	3		dw_idata	t_dwd_user_click_v2_d			郭金	1	h
idata_ods.t_ods_ireader_commercial_ad_h	影响p0核心小时表产出-ods层消费表，从basicdata到ods做了清洗过滤，规则为：(length(bookid)>=5or(length(bookid)<5andorderidlike%DMP%))andlength(partner_id)=6	/warehouse/idata_ods.db/t_ods_ireader_commercial_ad_h	3	3		dw_idata	t_ods_ireader_commercial_ad_h			郭金	1	h
idata_ods.t_ods_ireader_search_h	影响p0核心小时表产出	/warehouse/idata_ods.db/t_ods_ireader_search_h	2	2		dw_idata	basic_to_ods_android_h		得间-p0-	郭金	1	h
idata_ods.t_ods_ireader_track_h	影响p0核心小时表产出-商业化广告日志	/warehouse/idata_ods.db/t_ods_ireader_track_h	3	3		dw_idata	t_ods_ireader_track_h			郭金	1	h
idata_ods.t_ods_midu_click_h	影响p0核心小时表产出-6版充值流水	/warehouse/idata_ods.db/t_ods_midu_click_h	2	2		dw_idata	秘读计算			郭金	1	h
idata_ods.t_ods_midu_invest_sync_h	影响p0核心小时表产出-启动明细	/warehouse/idata_ods.db/t_ods_midu_invest_sync_h	2	2		dw_idata	秘读计算			郭金	1	h
